,Unnamed: 0.1,Unnamed: 0,recipe_urls,recipe_name,ingredients,url,images url
2806,3663,4520,https://www.allrecipes.com/recipe/19913/thai-peanut-butter-sauce/,Thai Peanut Butter Sauce Recipe - Allrecipes.com,"[""1 teaspoon cayenne pepper"",""1/3 cup hot water"",""1/3 cup soy sauce"",""1/4 cup dry sherry"",""1/4 cup light corn syrup"",""2 tablespoons lemon juice"",""2/3 cup peanut butter""]",,
2807,3664,4521,https://www.allrecipes.com/recipe/64339/thai-chicken/,Thai Chicken Recipe - Allrecipes.com,"[""1 (8 ounce) package rice noodles"",""1 onion, chopped"",""1 pound skinless, boneless chicken breast meat - cubed"",""1 tablespoon peanut oil"",""1 teaspoon green curry paste"",""1 zucchini, diced"",""1/2 (10 ounce) can coconut milk"",""1/2 cup sliced mushrooms"",""2 tablespoons chopped cilantro"",""2 tablespoons white sugar"",""3 tablespoons fish sauce"",""boiling water to cover""]",,
2808,3665,4522,https://www.allrecipes.com/recipe/53524/thai-grilled-chicken-with-sweet-chile-dipping-sauce/,Thai Grilled Chicken with Sweet Chile Dipping Sauce Recipe - Allrecipes.com,"[""1 teaspoon curry powder"",""1 teaspoon ground turmeric"",""1 teaspoon minced garlic"",""1/2 (3 pound) chicken, cut into pieces"",""1/2 cup coconut milk"",""1/2 teaspoon minced bird's eye chile"",""1/2 teaspoon white pepper"",""1/4 teaspoon salt"",""2 tablespoons chopped cilantro"",""2 tablespoons fish sauce"",""2 tablespoons minced garlic"",""4 tablespoons water"",""4 tablespoons white sugar"",""6 tablespoons rice vinegar""]",,
2809,3666,4523,https://www.allrecipes.com/recipe/256566/refined-sugar-free-mango-sticky-rice/,Refined Sugar Free-Mango Sticky Rice Recipe - Allrecipes.com,"[""1 1/3 cups coconut milk"",""1 teaspoon cornstarch"",""1 teaspoon toasted sesame seeds"",""1/2 cup Thai glutinous rice"",""1/3 cup dates, pitted and chopped"",""1/4 teaspoon Himalayan salt"",""2 ripe mangoes, sliced""]",,
2810,3667,4524,https://www.allrecipes.com/recipe/125388/fried-rice-with-lychees-koa-pad-lin-gee/,Fried Rice with Lychees (Koa Pad Lin Gee) Recipe - Allrecipes.com,"[""1 cup uncooked jasmine rice"",""1 tablespoon chopped cashews"",""1 tablespoon chopped onion"",""1 teaspoon raisins"",""1/2 cup water"",""1/4 cup reduced-sodium soy sauce"",""1/4 teaspoon white pepper"",""1/4 teaspoon white sugar"",""2 cloves garlic, minced"",""2 tablespoons chopped carrot"",""2 tablespoons chopped green onion"",""3 tablespoons soy-based liquid seasoning (such as Maggi(R))"",""3 tablespoons vegetable oil"",""5 canned lychees, drained and quartered""]",,
2811,3668,4525,https://www.allrecipes.com/recipe/140964/thai-monkfish-curry/,Thai Monkfish Curry Recipe - Allrecipes.com,"[""1 (14 ounce) can coconut milk"",""1 red bell pepper, chopped"",""1 tablespoon fish sauce"",""1 tablespoon peanut oil"",""1/2 sweet onion, finely chopped"",""12 ounces monkfish, cut into cubes"",""2 tablespoons cilantro, chopped"",""2 tablespoons lime juice"",""3 tablespoons red Thai curry paste""]",,
2812,3669,4526,https://www.allrecipes.com/recipe/25482/barbequed-thai-style-chicken/,Barbequed Thai Style Chicken Recipe - Allrecipes.com,"[""1 (3 pound) chicken, cut into pieces"",""1 bunch fresh cilantro with roots"",""1 pinch salt"",""1 tablespoon white sugar"",""1 teaspoon curry powder"",""1 teaspoon ground turmeric"",""1/4 cup coconut milk"",""3 cloves garlic, peeled"",""3 small red hot chile peppers, seeded and chopped"",""3 tablespoons fish sauce""]",,
2813,3670,4527,https://www.allrecipes.com/recipe/241425/quick-red-curry-soup/,Quick Red Curry Soup Recipe - Allrecipes.com,"[""1 (14 ounce) can bean sprouts, drained"",""1 cup chopped cooked chicken"",""1 lime, zested"",""1 pound shrimp"",""1 tablespoon chopped fresh cilantro"",""1/4 cup red curry paste"",""2 cups cherry tomatoes"",""2 limes, juiced"",""2 tablespoons olive oil"",""3 cups chicken stock"",""3 cups coconut milk"",""salt and ground black pepper to taste""]",,
2814,3671,4528,https://www.allrecipes.com/recipe/265780/thai-mango-prawn-salad/,Thai Mango-Prawn Salad  Recipe - Allrecipes.com,"[""1 1/2 teaspoons chopped pickled ginger"",""1 pinch white sugar"",""1 pound large shrimp, peeled and deveined"",""1 red onion, thinly sliced"",""1 ripe mango, cubed"",""1 romaine hearts, chopped into bite-sized pieces, or more to taste"",""1 tablespoon chopped garlic"",""1 tablespoon fish sauce"",""1 tablespoon rice vinegar"",""1/2 cup matchstick-cut carrots"",""1/2 cup mirin (Japanese sweet wine)"",""1/2 lime, juiced"",""1/2 red pepper flakes, or more to taste"",""1/2 teaspoon soy sauce, or more to taste"",""1/4 cup chopped cashews"",""1/4 cup chopped green onions, or more to taste"",""2 tablespoons peanut oil""]",,
2815,3672,4529,https://www.allrecipes.com/recipe/87309/thai-shrimp-burgers/,Thai Shrimp Burgers Recipe - Allrecipes.com,"[""1 1/2 pounds large shrimp, peeled"",""1 jalapeno pepper, seeded and minced"",""1/2 cup Thai peanut sauce"",""1/2 teaspoon salt"",""1/4 cup dry bread crumbs"",""2 cups slaw mix"",""2 large garlic cloves, minced"",""2 tablespoons fresh lime juice"",""2 tablespoons minced fresh ginger"",""2 tablespoons vegetable oil"",""3 Green Onions, thinly sliced"",""4 small (4 inch) pita breads"",""6 tablespoons minced cilantro""]",,
