,Unnamed: 0,recipe_urls,recipe_name,ingredients
867,1724,https://www.allrecipes.com/recipe/140997/seared-salmon-with-indian-inspired-cream-sauce/,Seared Salmon with Indian-Inspired Cream Sauce Recipe - Allrecipes.com,"[""1 cup chopped portobello mushrooms"",""1 cup fresh porcini mushrooms, cleaned and sliced"",""1 cup heavy cream"",""1 tablespoon butter"",""1 teaspoon curry powder"",""1/2 cup diced celery"",""1/2 cup diced fennel bulb"",""1/2 teaspoon saffron"",""2 cups chicken broth"",""2 medium onions, diced"",""2 tablespoons thinly sliced green onion for garnish"",""4 (6 ounce) fillets fresh salmon"",""4 lemon slices for garnish"",""4 sprigs chopped fresh parsley for garnish"",""8 cloves garlic, minced"",""salt and black pepper to taste""]"
868,1725,https://www.allrecipes.com/recipe/212722/murgh-makhani-indian-butter-chicken/,Murgh Makhani (Indian Butter Chicken) Recipe - Allrecipes.com,"[""1 (1 inch) piece fresh ginger"",""1 1/2 pounds boneless, skinless chicken thighs, cut into 1-inch pieces"",""1 clove garlic"",""1 cup half and half"",""1 cup tomato sauce"",""1 tablespoon tandoori masala powder"",""1 teaspoon dried fenugreek leaves"",""1 teaspoon salt"",""1/2 onion, chopped"",""1/3 cup plain nonfat yogurt"",""1/4 teaspoon Indian chili powder"",""2 tablespoons butter"",""2 tablespoons water"",""2 teaspoons garam masala"",""3 tablespoons cooking oil, divided""]"
869,1726,https://www.allrecipes.com/recipe/86197/potatoes-madras/,Potatoes Madras Recipe - Allrecipes.com,"[""1 (14.4 ounce) can whole tomatoes, chopped"",""1 1/2 pounds potatoes, cut into 1/2 inch dice"",""1 1/4 cups vegetable stock"",""1 large onion, sliced"",""1 tablespoon curry powder"",""1 tablespoon mango chutney"",""1/2 tablespoon ground ginger"",""2 1/2 cups cauliflower florets"",""2 cloves garlic, crushed"",""2 tablespoons malt vinegar"",""3 tablespoons vegetable oil"",""4 ounces dry red lentils"",""chopped fresh parsley for garnish"",""salt and pepper to taste""]"
870,1727,https://www.allrecipes.com/recipe/265777/andreas-dal-for-instant-pot/,Andrea's Dal for Instant Pot® Recipe - Allrecipes.com,"[""1 1/2 cups chana dal"",""1 1/2 tablespoons minced ginger"",""1 onion, roughly chopped"",""1 tablespoon coconut oil"",""1 tablespoon minced garlic"",""1 teaspoon cumin seeds"",""1 teaspoon ground turmeric"",""1 teaspoon salt"",""1/2 teaspoon cayenne pepper, or less to taste (optional)"",""1/4 cup chopped cilantro (optional)"",""1/4 cup water"",""2 tomatoes, roughly chopped, or more to taste"",""5 cups water"",""Chickpeas:""]"
871,1728,https://www.allrecipes.com/recipe/234706/toms-mulligatawny-soup/,Tom's Mulligatawny Soup Recipe - Allrecipes.com,"[""1 pound chicken, cut into chunks"",""1 teaspoon curry powder"",""1 teaspoon ground black pepper"",""1 teaspoon minced fresh parsley, or to taste"",""1 teaspoon salt"",""1/2 cup chopped bell pepper"",""1/2 cup chopped carrot"",""1/2 cup chopped onion"",""1/2 gallon chicken stock"",""2 cups chopped apples"",""2 whole cloves"",""3 1/2 cups stewed tomatoes"",""3 tablespoons margarine"",""3/4 cup all-purpose flour"",""3/4 cup chopped celery""]"
872,1729,https://www.allrecipes.com/recipe/212525/kheema-pulao/,Kheema Pulao Recipe - Allrecipes.com,"[""1 black cardamom pod"",""1 cinnamon stick"",""1 pound ground beef"",""1 tablespoon garlic paste"",""1 tablespoon ghee (clarified butter)"",""1 tablespoon ginger paste"",""1 teaspoon garam masala"",""1 teaspoon ground cumin"",""1 teaspoon ground turmeric"",""1/2 cup frozen green peas (optional)"",""1/4 cup chopped fresh cilantro"",""1/4 cup cooking oil"",""2 bay leaves"",""2 large onions, minced"",""2 tomatoes, chopped"",""3 cups basmati rice"",""4 green chile peppers, halved lengthwise"",""4 whole cloves"",""5 cups water"",""salt to taste""]"
873,1730,https://www.allrecipes.com/recipe/267714/veggie-samosas/,Veggie Samosas Recipe - Allrecipes.com,"[""1 cup room-temperature water"",""1 pinch salt"",""1 teaspoon ground cumin"",""1 teaspoon ground ginger"",""1/2 cup diced onion"",""1/2 teaspoon cayenne pepper"",""1/2 teaspoon ground coriander"",""1/2 teaspoon red pepper flakes"",""1/2 teaspoon sea salt"",""1/4 teaspoon celery seed"",""1/4 teaspoon dried tarragon"",""1/8 teaspoon ground cinnamon"",""2 cups all-purpose flour"",""2 cups diced potatoes"",""2 cups frozen mixed vegetables, diced"",""2 cups vegetable broth"",""2 tablespoons vegetable oil"",""2 teaspoons chopped garlic"",""2 teaspoons curry powder"",""Dough:"",""Filling:"",""oil for frying""]"
874,1731,https://www.allrecipes.com/recipe/208041/machhere-jhol-bengali-fish-curry/,Machhere Jhol (Bengali Fish Curry) Recipe - Allrecipes.com,"[""1 tablespoon ground turmeric"",""1 tablespoon vegetable oil"",""1/2 teaspoon black cumin seeds"",""1/2 teaspoon cumin seeds"",""1/2 teaspoon mustard seeds"",""1/2 teaspoon salt"",""1/4 teaspoon fennel seeds, lightly crushed"",""1/4 teaspoon fenugreek seeds"",""2 cups water"",""2 large tomatoes, coarsely chopped"",""2 pounds thick whitefish fillets, cut into large chunks"",""2 teaspoons ground cumin""]"
875,1732,https://www.allrecipes.com/recipe/228957/authentic-saag-paneer/,Authentic Saag Paneer Recipe - Allrecipes.com,"[""1 bunch fenugreek leaves, roughly chopped"",""1 onion, thinly sliced"",""1 tablespoon canola oil"",""1 teaspoon cumin seeds"",""1 teaspoon grated fresh ginger"",""1 tomato, diced"",""1/2 cup heavy whipping cream"",""1/2 pound paneer, cubed"",""1/2 teaspoon cayenne pepper"",""1/2 teaspoon ground turmeric"",""2 bunches spinach, roughly chopped"",""2 tablespoons canola oil"",""2 teaspoons garam masala"",""3 cloves garlic, minced"",""salt to taste""]"
876,1733,https://www.allrecipes.com/recipe/259032/serenas-strawberry-lassi/,Serena's Strawberry Lassi  Recipe - Allrecipes.com,"[""1 cup ice"",""1/2 cup white sugar"",""2 cups plain whole-milk yogurt"",""2 cups strawberries""]"
877,1734,https://www.allrecipes.com/recipe/262622/indian-chicken-tikka-masala/,Indian Chicken Tikka Masala Recipe - Allrecipes.com,"[""1 (1 inch) piece ginger, coarsely chopped"",""1 (14.5 ounce) can chopped tomatoes"",""1 onion, chopped"",""1 tablespoon all-purpose flour"",""1/4 cup water"",""2 cloves garlic, roughly chopped"",""2 tablespoons masala curry paste"",""2 tablespoons vegetable oil"",""3 tablespoons chopped fresh cilantro"",""4 skinless, boneless chicken breasts, cut into 1-inch pieces"",""4 tablespoons plain yogurt"",""salt and freshly ground black pepper to taste""]"
878,1735,https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas Recipe - Allrecipes.com,"[""1 1/2 cups water"",""1 large tomato, chopped"",""1 tablespoon minced fresh ginger root"",""1/2 cup onion, chopped"",""1/8 teaspoon garam masala"",""2 (15.5 ounce) cans garbanzo beans, drained and rinsed"",""2 tablespoons vegetable oil"",""2 teaspoons channa masala spice mix"",""4 cloves garlic, minced"",""salt to taste""]"
879,1736,https://www.allrecipes.com/recipe/8602/tandoori-chicken-i/,Tandoori Chicken I Recipe - Allrecipes.com,"[""1 (2 to 3 pound) chicken, skinned and quartered"",""1 teaspoon salt"",""2 tablespoons distilled white vinegar"",""2 tablespoons lemon juice"",""2 tablespoons plain yogurt"",""2 tablespoons vegetable oil"",""4 teaspoons ground allspice""]"
880,1737,https://www.allrecipes.com/recipe/228011/aarsis-tofu-curry/,Aarsi's Tofu Curry Recipe - Allrecipes.com,"[""1 (15 ounce) can diced tomatoes"",""1 (16 ounce) package medium-firm tofu, cubed"",""1 large red onion, minced"",""1 pinch asafoetida powder"",""1 tablespoon garam masala"",""1 tablespoon olive oil, or as needed"",""1 teaspoon ground turmeric"",""1 teaspoon red chile powder"",""2 Indian green chilies, halved"",""2 cups green peas"",""2 cups water"",""2 tablespoons ground coriander"",""4 bay leaves"",""salt to taste""]"
881,1738,https://www.allrecipes.com/recipe/262908/easy-instant-pot-green-moong-dal/,Easy Instant Pot® Green Moong Dal Recipe - Allrecipes.com,"[""1 cup green moong dal lentils, rinsed"",""1 onion, diced"",""1 pinch ground turmeric"",""1 tablespoon chopped cilantro"",""1 tablespoon lemon juice"",""1 tablespoon olive oil"",""1 teaspoon coriander"",""1 teaspoon cumin"",""1 teaspoon garam masala"",""1 teaspoon salt"",""1/2 tablespoon ground ginger"",""1/2 tablespoon minced garlic"",""1/2 teaspoon cayenne pepper"",""3 cups water""]"
882,1739,https://www.allrecipes.com/recipe/246713/la-jawab-sabut-bhindi/,La-jawab Sabut Bhindi Recipe - Allrecipes.com,"[""1 (1/2 inch) piece fresh ginger"",""1 1/2 teaspoons salt"",""1 3/4 pounds okra, trimmed and halved lengthwise"",""1 teaspoon cumin seeds"",""1 teaspoon ground red chile pepper"",""1/2 teaspoon ground turmeric"",""1/4 teaspoon dried mango powder (amchoor)"",""1/4 teaspoon garam masala"",""1/4 teaspoon ground coriander"",""2 tablespoons plain yogurt"",""3 tablespoons vegetable oil"",""3 tomatoes, quartered"",""3/4 cup water"",""oil for frying""]"
883,1740,https://www.allrecipes.com/recipe/212375/anapakaya-paala-koora/,Anapakaya Paala Koora Recipe - Allrecipes.com,"[""1 (1 pound) calabash gourd (anapakaya), cut into 3/4-inch pieces"",""1 sprig fresh curry leaves"",""1 teaspoon coriander seed"",""1 teaspoon cumin seeds"",""1 teaspoon mustard seed"",""1/2 teaspoon ground red pepper"",""1/4 cup milk"",""1/4 teaspoon asafoetida powder"",""2 dried red chile peppers, broken into pieces"",""2 tablespoons vegetable oil"",""salt to taste""]"
884,1741,https://www.allrecipes.com/recipe/237348/tandoori-chicken-burgers/,Tandoori Chicken Burgers Recipe - Allrecipes.com,"[""1 cup bread crumbs"",""1 egg"",""1 pound ground chicken"",""1 small red onion, chopped"",""1 tablespoon finely chopped fresh parsley"",""1 tablespoon lemon juice"",""1 tablespoon tandoori paste"",""1 teaspoon garlic paste"",""1 teaspoon ginger paste"",""1 teaspoon red pepper flakes (optional)"",""1/2 cup chopped fresh cilantro"",""1/2 teaspoon garam masala"",""2 tablespoons extra-virgin olive oil"",""2 tablespoons ground red chile pepper (optional)"",""2 tablespoons non-fat plain yogurt"",""2 teaspoons ground cumin""]"
885,1742,https://www.allrecipes.com/recipe/20651/chutney-eggs/,Chutney Eggs Recipe - Allrecipes.com,"[""1 tablespoon chopped almonds"",""1/4 cup chutney"",""12 eggs"",""3 tablespoons mayonnaise"",""6 slices bacon""]"
